Activity Date,Activity Type,Campaign ID,Campaign Name,Campaign Objective,Channel,Conversion Funnel Stage,Source,Target Audience,Visibility,Campaign Duration,Clicks,Conversion Rate,Conversions,Cost,Engagement Rate,Engagement Time,Impressions,Revenue,ROI
2022-02-06,Click,Campaign-6604GF,Up-sized dedicated forecast,Lead Generation,Facebook,Consideration,Referral,New Visitors,Public,75,99,0.18,12,570.29,0.12,217,1025,920.42,-69.06
2023-08-26,Engagement,Campaign-6475Ln,Realigned demand-driven firmware,Brand Awareness,Twitter,Decision,Email,Segmented Audience,Public,14,117,0.02,12,600.48,0.86,272,1009,767.32,128.4
2023-02-09,Ad Display,Campaign-8242Wg,Centralized multimedia hierarchy,Lead Generation,Instagram,Consideration,Referral,Subscribers,Restricted,50,77,0.13,10,512.95,0.29,154,1030,1007.48,289.22
2023-05-16,Click,Campaign-9489jt,Team-oriented upward-trending forecast,Sales Conversion,Instagram,Decision,PPC,Subscribers,Private,73,105,0.02,13,408.22,0.91,14,1014,1049.43,-34.94
2023-07-08,Engagement,Campaign-1157Jg,Networked clear-thinking alliance,Lead Generation,Instagram,Awareness,PPC,Subscribers,Private,43,110,0.18,11,855.9,0.82,132,1014,1047.36,193.97
2022-10-25,Engagement,Campaign-5659On,Ergonomic regional framework,Brand Awareness,Google Ads,Decision,Email,Returning Customers,Restricted,37,95,0.17,8,773.84,0.2,127,1021,1402.89,144.41
2022-01-11,Engagement,Campaign-8778qd,Expanded local frame,Lead Generation,LinkedIn,Decision,PPC,Segmented Audience,Public,35,99,0.15,6,349.32,0.61,187,1028,1154.66,88.69
2023-01-03,Engagement,Campaign-8016TY,Adaptive 6thgeneration interface,Lead Generation,LinkedIn,Awareness,Email,New Visitors,Public,15,99,0.14,8,604.38,0.6,297,1039,616.09,-85.52
2023-01-15,Conversion,Campaign-0975pU,Optional neutral solution,Brand Awareness,Google Ads,Awareness,Referral,Returning Customers,Private,21,124,0.08,6,501.22,0.32,261,976,991.16,58.84
2022-05-03,Conversion,Campaign-5139op,Advanced system-worthy concept,Sales Conversion,Instagram,Decision,Email,New Visitors,Public,75,104,0.03,5,279.63,0.47,263,1017,1646.78,113.33
2022-12-04,Click,Campaign-2871fu,Synergistic bi-directional hierarchy,Brand Awareness,Facebook,Decision,SEO,New Visitors,Public,84,93,0.12,8,241.6,0.28,285,982,1297.77,179.21
2022-09-08,Engagement,Campaign-8714Js,Operative discrete task-force,Lead Generation,LinkedIn,Decision,PPC,Segmented Audience,Public,51,108,0.2,6,417.81,0.88,92,1017,1251.99,21.25
2023-04-23,Ad Display,Campaign-1858nZ,Future-proofed zero administration initiative,Lead Generation,Instagram,Consideration,Email,New Visitors,Public,34,98,0.11,8,845.8,0.43,268,993,1854.25,-39.86
2022-03-10,Click,Campaign-9894Cf,Profit-focused heuristic open system,Brand Awareness,LinkedIn,Consideration,SEO,Returning Customers,Public,83,108,0.08,10,690.7,0.83,199,1014,979.34,-17.01
2022-03-27,Engagement,Campaign-9659ps,Distributed uniform array,Brand Awareness,LinkedIn,Awareness,Direct,Returning Customers,Restricted,56,93,0.2,11,618.86,0.78,90,1100,663.66,213.82
2023-02-06,Engagement,Campaign-2320NQ,Inverse didactic secured line,Lead Generation,Twitter,Consideration,PPC,Segmented Audience,Restricted,19,120,0.07,9,548.44,0.47,226,997,999.91,-95.99
2023-05-22,Click,Campaign-4711RW,Balanced hybrid task-force,Lead Generation,Facebook,Awareness,Social Media,Subscribers,Restricted,87,92,0.18,9,434.13,0.14,175,957,1435.73,-56.42
2022-12-31,Ad Display,Campaign-2201SI,Multi-tiered even-keeled groupware,Lead Generation,Google Ads,Awareness,Social Media,Subscribers,Public,86,109,0.15,10,680.53,0.31,187,1027,653.64,15.37
